Gene stable ID,KEGG Pathway and Enzyme ID,NCBI gene ID
Os02g0274100,00071+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00650+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00071+5.1.2.3+4.2.1.17+1.1.1.35+5.3.3.8,4328997
Os02g0274100,00592+4.2.1.17,4328997
Os02g0274100,00360+4.2.1.17,4328997
Os02g0274100,00410+4.2.1.17,4328997
Os02g0274100,00930+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00362+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00720+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00071+5.1.2.3+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00903+4.2.1.17,4328997
Os02g0274100,00380+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00623+1.1.1.35,4328997
Os02g0274100,00640+4.2.1.17,4328997
Os02g0274100,00062+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00310+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00281+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00627+4.2.1.17,4328997
Os02g0274100,00650+5.1.2.3+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00280+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00071+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00650+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00071+5.1.2.3+4.2.1.17+1.1.1.35+5.3.3.8,4328997
Os02g0280700,,4329022
Os02g0281000,04658+3.1.3.16,4329023
Os02g0281000,04660+3.1.3.16,4329023
Os02g0281000,04658+3.1.3.16,4329023
Os02g0281000,04660+3.1.3.16,4329023
Os02g0306401,,9267778
Os02g0319300,,
Os02g0465600,,9270209
Os02g0491400,,4329388
Os02g0503100,,
Os02g0526400,,
Os02g0554000,00310+2.1.1.43,
Os02g0554000,,
Os02g0557100,,4329671
Os02g0564300,,4329695
Os02g0566400,,4329709
Os02g0567100,,4329715
Os02g0567900,,
Os02g0579800,,4329772
Os02g0614966,,
Os02g0636600,,4330085
Os02g0661100,,4330221
Os02g0661100,,4330221
Os02g0666200,,4330248
Os02g0666200,,4330248
Os02g0669100,,4330265
Os02g0680700,,9272080
Os02g0695800,,
Os02g0695900,,
Os02g0697300,,4330406
Os02g0708100,00250+6.3.5.5,4330474
Os02g0708100,00240+6.3.5.5,4330474
Os02g0708100,00250+6.3.5.5,4330474
Os02g0708100,00240+6.3.5.5,4330474
Os02g0708100,00250+6.3.5.5,4330474
Os02g0708100,00240+6.3.5.5,4330474
Os02g0719800,,4330544
Os02g0719800,,4330544
Os02g0719800,,4330544
Os02g0720600,,4330552
Os02g0741500,,
Os02g0743700,,4330702
Os02g0743700,,4330702
Os02g0743700,,4330702
Os02g0752800,,4330752
Os02g0752800,,4330752
Os02g0766700,,4330838
Os02g0770800,,4330867
Os02g0775600,,4330898
Os02g0775600,,4330898
Os02g0781700,,
Os02g0781700,,
Os02g0790500,,
Os02g0790500,00500+2.4.1.15,
Os02g0790500,,
Os02g0805600,,4331066
Os02g0805600,,4331066
Os02g0806700,,4331074
Os02g0807200,,
Os02g0808100,,
Os02g0808800,,4331085
Os02g0811200,,4331100
Os02g0811400,,4331101
Os02g0814900,,
Os02g0815600,,4331131
Os02g0816600,,
Os02g0816600,,
Os02g0817700,,4331150
Os02g0822100,,4331184
Os02g0822100,,4331184
Os02g0823900,,107277956
Os03g0108600,,
Os03g0109600,,4331347
Os03g0109600,,4331347
Os03g0109600,,4331347
Os03g0110300,,4331352
Os03g0122300,,4331443
Os03g0122300,,4331443
Os03g0126000,00400+2.4.2.18,4331468
Os03g0130400,00730+2.7.4.3,4331502
Os03g0130400,00230+2.7.4.3,4331502
Os03g0130400,00730+2.7.4.3,4331502
Os03g0130400,00230+2.7.4.3,4331502
Os03g0132000,,4331515
Os03g0133400,,
Os03g0133900,00270+2.3.1.30,4331528
Os03g0133900,00999+2.3.1.30,4331528
Os03g0133900,00920+2.3.1.30,4331528
Os03g0142800,,4331585
Os03g0142800,,4331585
Os03g0146400,,
Os03g0146400,,
Os03g0152000,,4331647
Os03g0156600,,
Os03g0158500,,4331683
Os03g0158500,,4331683
Os03g0158500,,4331683
Os03g0158500,,4331683
Os03g0182400,,4331839
Os03g0184300,,
Os03g0184300,,
Os03g0185000,00270+2.3.1.30,4331861
Os03g0185000,00999+2.3.1.30,4331861
Os03g0185000,00920+2.3.1.30,4331861
Os03g0185500,,
Os03g0190100,,4331897
Os03g0191000,,
Os03g0192500,04658+3.1.3.16,4331915
Os03g0192500,04660+3.1.3.16,4331915
Os03g0192700,00521+5.5.1.4,4331917
Os03g0192700,00562+5.5.1.4,4331917
Os03g0195500,,
Os03g0196600,00270+2.3.1.30,4331941
Os03g0196600,00999+2.3.1.30,4331941
Os03g0196600,00920+2.3.1.30,4331941
Os03g0210400,,4332022
Os03g0213200,,4332043
Os03g0225900,,4332121
Os03g0225900,,4332121
Os03g0230500,04070+2.7.1.159,4332146
