dpi	gene		gene2	baseMean	log2FoldChange	stat	pvalue	padj
7dpi	TraesCS4D02G259000	3155	TraesCS4D02G259000	174.849174	1.491562864	5.013793554	5.34E-07	6.31E-05
7dpi	TraesCS4D02G364400	3221	TraesCS4D02G364400	44.49773953	2.000604036	4.399055527	1.09E-05	0.000680628
7dpi	TraesCS4D02G366200	3223	TraesCS4D02G366200	13.10021187	2.446023436	3.70001136	0.00021559	0.006170093
7dpi	TraesCS5A02G030900	3240	TraesCS5A02G030900	132.949627	0.97535262	3.126269709	0.001770391	0.027817192
7dpi	TraesCS5A02G100600							
7dpi	TraesCS5A02G166100							
7dpi	TraesCS5A02G308600							
7dpi	TraesCS5A02G332300							
7dpi	TraesCS5A02G362400	3391	TraesCS5A02G362400	64.85931858	5.244669464	8.11670337	4.79E-16	5.57E-13
7dpi	TraesCS5A02G365400	3394	TraesCS5A02G365400	17.14495343	3.014097925	4.609411587	4.04E-06	0.000318354
7dpi	TraesCS5A02G428200							
7dpi	TraesCS5A02G499300							
7dpi	TraesCS5A02G736500LC							
7dpi	TraesCS5B02G007100							
7dpi	TraesCS5B02G056400LC							
7dpi	TraesCS5B02G102000							
7dpi	TraesCS5B02G164500LC							
7dpi	TraesCS5B02G232400	3622	TraesCS5B02G232400	138.8730227	1.547458119	3.398841713	0.000676719	0.014095173
7dpi	TraesCS5B02G311400LC							
7dpi	TraesCS5B02G366900	3677	TraesCS5B02G366900	86.68599284	1.276565586	3.537960102	0.000403231	0.009770931
7dpi	TraesCS5B02G507300							
7dpi	TraesCS5B02G516600							
7dpi	TraesCS5B02G530800							
7dpi	TraesCS5B02G531900							
7dpi	TraesCS5B02G535100							
7dpi	TraesCS5B02G535400							
7dpi	TraesCS5D02G051500LC	3808	TraesCS5D02G051500LC	97.25838819	2.05599674	3.873045881	0.000107484	0.003758306
7dpi	TraesCS5D02G170700							
7dpi	TraesCS5D02G338200							
7dpi	TraesCS5D02G356300LC	3995	TraesCS5D02G356300LC	468.5122715	0.9504275	3.034887811	0.002406252	0.034222529
