gene	comparison		gene	baseMean	log2FoldChange	stat	pvalue	padj						
TraesCS3A02G305400	comparisonSOvOA	809	TraesCS3A02G305400	240.6421846	-0.382554902	2.981979031	0.002863916	0.04326243						
TraesCS3A02G313200	comparisonCON	4382	TraesCS3A02G313200	1252.33	2.037904	5.836639	5.33E-09	1.98E-07						
TraesCS3A02G313200	comparisonSAvOA	1527	TraesCS3A02G313200	1513.780372	-0.988524544	-3.211961179	0.001318322	0.013187241						
TraesCS3A02G313200	comparisonSAvSO													
TraesCS3A02G313200	comparisonSOvOA	814	TraesCS3A02G313200	502.5655281	-0.760354297	4.23415865	2.29E-05	0.000731743						
TraesCS3A02G339600	comparisonCON	4415	TraesCS3A02G339600	86.7948	-1.031849	-3.176922	0.001488469	0.0115176						
TraesCS3A02G339600	comparisonSAvOA	1534	TraesCS3A02G339600	39.91078944	-1.179509074	-2.870775047	0.004094668	0.032231992						
TraesCS3A02G339600	comparisonSAvSO													
TraesCS3A02G339600	comparisonSOvOA	816	TraesCS3A02G339600	54.44657737	-0.110901831	-3.086794226	0.002023276	0.032755534						
TraesCS3A02G458400	comparisonCON	4564	TraesCS3A02G458400	157.273	2.662785	5.229583	1.70E-07	4.37E-06						
TraesCS3A02G458400	comparisonSAvOA	1571	TraesCS3A02G458400	182.2045762	-1.602214523	-5.310596627	1.09E-07	4.72E-06						
TraesCS3A02G458400	comparisonSAvSO													
TraesCS3A02G458400	comparisonSOvOA	837	TraesCS3A02G458400	81.18373944	-1.534654713	-3.817431514	0.000134848	0.00336492						
TraesCS3A02G510100	comparisonCON	4605	TraesCS3A02G510100	14294.72	1.180622	3.391261	0.000695718	0.006054616						
TraesCS3A02G510100	comparisonSAvOA	1581	TraesCS3A02G510100	12563.25613	-1.905322023	-7.210374	5.58E-13	9.78E-11						
TraesCS3A02G510100	comparisonSAvSO													
TraesCS3A02G510100	comparisonSOvOA	841	TraesCS3A02G510100	6024.557114	-0.185150061	-3.512130434	0.00044453	0.009345237						
TraesCS3A02G537100	comparisonCON	4637	TraesCS3A02G537100	17.86835	4.035232	5.149144	2.62E-07	6.42E-06						
TraesCS3A02G537100	comparisonSAvOA	1593	TraesCS3A02G537100	20.21758796	-2.257715945	-4.132971555	3.58E-05	0.000675896						
TraesCS3A02G537100	comparisonSAvSO													
TraesCS3A02G537100	comparisonSOvOA	843	TraesCS3A02G537100	10.92616751	-2.406399033	-3.908956779	9.27E-05	0.002427477						
